5	10	30.1
5	15	25.1
5	20	20.1
5	25	15.1
5	30	10.1
5	35	5.1
10	5	5.1
10	15	30.1
10	20	25.1
10	25	20.1
10	30	15.1
10	35	10.1
15	5	10.1
15	10	5.1
15	20	30.1
15	25	25.1
15	30	20.1
15	35	15.1
20	5	15.1
20	10	10.1
20	15	5.1
20	25	30.1
20	30	25.1
20	35	20.1
25	5	20.1
25	10	15.1
25	15	10.1
25	20	5.1
25	30	30.1
25	35	25.1
30	5	25.1
30	10	20.1
30	15	15.1
30	20	10.1
30	25	5.1
30	35	30.1
35	5	30.1
35	10	25.1
35	15	20.1
35	20	15.1
35	25	10.1
35	30	5.1
